Hour,Apparent,Temperature
0,7.388888889,9.472222222
1,7.227777778,9.355555556
2,9.377777778,9.377777778
3,5.944444444,8.288888889
4,6.977777778,8.755555556
5,7.111111111,9.222222222
6,5.522222222,7.733333333
7,6.527777778,8.772222222
8,10.82222222,10.82222222
9,13.77222222,13.77222222
10,16.01666667,16.01666667
11,17.14444444,17.14444444
12,17.8,17.8
13,17.33333333,17.33333333
14,18.87777778,18.87777778
15,18.91111111,18.91111111
16,15.38888889,15.38888889
17,15.55,15.55
18,14.25555556,14.25555556
19,13.14444444,13.14444444
20,11.55,11.55
21,11.18333333,11.18333333
22,10.11666667,10.11666667
23,10.2,10.2
0,10.42222222,10.42222222
1,7.566666667,9.911111111
2,11.18333333,11.18333333
3,5.044444444,7.155555556
4,4.816666667,6.111111111
5,4.272222222,6.788888889
6,5.155555556,7.261111111
7,5.527777778,7.8
8,7.933333333,9.872222222
9,12.22222222,12.22222222
10,15.09444444,15.09444444
11,17.35555556,17.35555556
12,19.00555556,19.00555556
13,20.04444444,20.04444444
14,21.05,21.05
15,21.18333333,21.18333333
16,20.11666667,20.11666667
17,20.21666667,20.21666667
18,20,20
19,17.8,17.8
20,16.06111111,16.06111111
21,15.02222222,15.02222222
22,14.42222222,14.42222222
23,14.25555556,14.25555556
0,13.77222222,13.77222222
1,13.28333333,13.28333333
2,5.466666667,8.633333333
3,11.25,11.25
4,11.18333333,11.18333333
5,10.69444444,10.69444444
6,11.11111111,11.11111111
7,11.11111111,11.11111111
8,12.16666667,12.16666667
9,12.75555556,12.75555556
10,13.83888889,13.83888889
11,16.18333333,16.18333333
12,17.51666667,17.51666667
13,17.38333333,17.38333333
14,17.36111111,17.36111111
15,17.20555556,17.20555556
16,15.63333333,15.63333333
17,13.57777778,13.57777778
18,10.91111111,10.91111111
19,5.294444444,8.8
20,5.777777778,8.961111111
21,4.605555556,8.2
22,3.722222222,7.688888889
23,4.65,7.766666667
0,5.072222222,8.2
1,4.372222222,8.177777778
2,6.183333333,7.311111111
3,5.038888889,7.644444444
4,2.616666667,6.622222222
5,3.222222222,6.683333333
6,1.65,6.088888889
7,1.633333333,6.066666667
8,1.494444444,6.144444444
9,2.688888889,7.133333333
10,3.233333333,7.205555556
11,3.544444444,7.566666667
12,5.161111111,8.9
13,6.644444444,9.961111111
14,6.55,9.888888889
15,11.06666667,11.06666667
16,10.11666667,10.11666667
17,11.03888889,11.03888889
18,10.65,10.65
19,10.05,10.05
20,7.716666667,9.9
21,6.816666667,8.794444444
